movie_id,title,year,imdb_id,tmdb_id
1,Toy Story ,1995,tt0114709,862
2,Jumanji ,1995,tt0113497,8844
3,Grumpier Old Men ,1995,tt0113228,15602
4,Waiting to Exhale ,1995,tt0114885,31357
5,Father of the Bride Part II ,1995,tt0113041,11862
6,Heat ,1995,tt0113277,949
7,Sabrina ,1995,tt0114319,11860
8,Tom and Huck ,1995,tt0112302,45325
9,Sudden Death ,1995,tt0114576,9091
10,GoldenEye ,1995,tt0113189,710
11,American President,1995,tt0112346,9087
12,Dracula: Dead and Loving It ,1995,tt0112896,12110
13,Balto ,1995,tt0112453,21032
14,Nixon ,1995,tt0113987,10858
15,Cutthroat Island ,1995,tt0112760,1408
16,Casino ,1995,tt0112641,524
17,Sense and Sensibility ,1995,tt0114388,4584
18,Four Rooms ,1995,tt0113101,5
19,Ace Ventura: When Nature Calls ,1995,tt0112281,9273
20,Money Train ,1995,tt0113845,11517
21,Get Shorty ,1995,tt0113161,8012
22,Copycat ,1995,tt0112722,1710
23,Assassins ,1995,tt0112401,9691
24,Powder ,1995,tt0114168,12665
25,Leaving Las Vegas ,1995,tt0113627,451
26,Othello ,1995,tt0114057,16420
27,Now and Then ,1995,tt0114011,9263
28,Persuasion ,1995,tt0114117,17015
29,City of Lost Children,1995,tt0112682,902
30,Shanghai Triad ,1995,tt0115012,37557
31,Dangerous Minds ,1995,tt0112792,9909
32,Twelve Monkeys ,1995,tt0114746,63
34,Babe ,1995,tt0112431,9598
36,Dead Man Walking ,1995,tt0112818,687
38,It Takes Two ,1995,tt0113442,33689
39,Clueless ,1995,tt0112697,9603
40,Cry,1995,tt0112749,34615
41,Richard III ,1995,tt0114279,31174
42,Dead Presidents ,1995,tt0112819,11443
43,Restoration ,1995,tt0114272,35196
44,Mortal Kombat ,1995,tt0113855,9312
45,To Die For ,1995,tt0114681,577
46,How to Make an American Quilt ,1995,tt0113347,11861
47,Seven ,1995,tt0114369,807
48,Pocahontas ,1995,tt0114148,10530
49,When Night Is Falling ,1995,tt0114916,8391
50,Usual Suspects,1995,tt0114814,629
52,Mighty Aphrodite ,1995,tt0113819,11448
53,Lamerica ,1994,tt0110299,49133
54,Big Green,1995,tt0112499,26441
55,Georgia ,1995,tt0113158,97406
57,Home for the Holidays ,1995,tt0113321,9089
58,Postman,1994,tt0110877,11010
60,Indian in the Cupboard,1995,tt0113419,11359
61,Eye for an Eye ,1996,tt0116260,17182
62,Mr. Holland's Opus ,1995,tt0113862,2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,tt0116126,10607
64,Two if by Sea ,1996,tt0118002,19760
65,Bio-Dome ,1996,tt0115683,9536
66,Lawnmower Man 2: Beyond Cyberspace ,1996,tt0116839,11525
68,French Twist ,1995,tt0113149,4482
69,Friday ,1995,tt0113118,10634
70,From Dusk Till Dawn ,1996,tt0116367,755
71,Fair Game ,1995,tt0113010,11859
72,Kicking and Screaming ,1995,tt0113537,28387
73,Misérables,1995,tt0113828,48750
74,Bed of Roses ,1996,tt0115644,20927
75,Big Bully ,1996,tt0115676,36929
76,Screamers ,1995,tt0114367,9102
77,Nico Icon ,1995,tt0113973,124626
78,Crossing Guard,1995,tt0112744,27526
79,Juror,1996,tt0116731,9623
80,White Balloon,1995,tt0112445,46785
81,Things to Do in Denver When You're Dead ,1995,tt0114660,400
82,Antonia's Line ,1995,tt0112379,880
83,Once Upon a Time... When We Were Colored ,1995,tt0114039,146599
85,Angels and Insects ,1995,tt0112365,8447
86,White Squall ,1996,tt0118158,10534
87,Dunston Checks In ,1996,tt0116151,17414
88,Black Sheep ,1996,tt0115697,13997
89,Nick of Time ,1995,tt0113972,2086
92,Mary Reilly ,1996,tt0117002,9095
93,Vampire in Brooklyn ,1995,tt0114825,12158
94,Beautiful Girls ,1996,tt0115639,9283
95,Broken Arrow ,1996,tt0115759,9208
96,In the Bleak Midwinter ,1995,tt0113403,40154
97,Hate ,1995,tt0113247,406
99,Heidi Fleiss: Hollywood Madam ,1995,tt0113283,63076
100,City Hall ,1996,tt0115907,11062
101,Bottle Rocket ,1996,tt0115734,13685
102,Mr. Wrong ,1996,tt0117102,47475
103,Unforgettable ,1996,tt0118040,2045
104,Happy Gilmore ,1996,tt0116483,9614
105,Bridges of Madison County,1995,tt0112579,688
106,Nobody Loves Me ,1994,tt0110251,11907
107,Muppet Treasure Island ,1996,tt0117110,10874
108,Catwalk ,1996,tt0112646,89333
110,Braveheart ,1995,tt0112573,197
111,Taxi Driver ,1976,tt0075314,103
112,Rumble in the Bronx ,1995,tt0113326,33542
113,Before and After ,1996,tt0115645,43566
116,Anne Frank Remembered ,1995,tt0112373,51352
117,Young Poisoner's Handbook,1995,tt0115033,16934
118,If Lucy Fell ,1996,tt0116606,10324
119,Steal Big,1995,tt0114536,78406
121,Boys of St. Vincent,1992,tt0106473,32119
122,Boomerang ,1992,tt0103859,11066
123,Chungking Express ,1994,tt0109424,11104
125,Flirting With Disaster ,1996,tt0116324,2074
126,NeverEnding Story III,1994,tt0110647,27793
128,Jupiter's Wife ,1994,tt0110217,290157
129,Pie in the Sky ,1996,tt0114131,110972
132,Jade ,1995,tt0113451,11863
135,Down Periscope ,1996,tt0116130,9101
137,Man of the Year ,1995,tt0113756,5757
140,Up Close and Personal ,1996,tt0118055,9302
141,Birdcage,1996,tt0115685,11000
144,Brothers McMullen,1995,tt0112585,16388
145,Bad Boys ,1995,tt0112442,9737
146,Amazing Panda Adventure,1995,tt0112342,30765
147,Basketball Diaries,1995,tt0112461,10474
148,Awfully Big Adventure,1995,tt0112427,22279
149,Amateur ,1994,tt0109093,30157
150,Apollo 13 ,1995,tt0112384,568
151,Rob Roy ,1995,tt0114287,11780
152,Addiction,1995,tt0112288,34996
153,Batman Forever ,1995,tt0112462,414
154,Beauty of the Day ,1967,tt0061395,649
155,Beyond Rangoon ,1995,tt0112495,1873
156,Blue in the Face ,1995,tt0112541,5894
157,Canadian Bacon ,1995,tt0109370,1775
158,Casper ,1995,tt0112642,8839
159,Clockers ,1995,tt0112688,20649
160,Congo ,1995,tt0112715,10329
161,Crimson Tide ,1995,tt0112740,8963
162,Crumb ,1994,tt0109508,26564
163,Desperado ,1995,tt0112851,8068
164,Devil in a Blue Dress ,1995,tt0112857,8512
165,Die Hard: With a Vengeance ,1995,tt0112864,1572
166,Doom Generation,1995,tt0112887,13552
168,First Knight ,1995,tt0113071,6520
